stock,model,horizon,threshold,n_samples,target_rate,accuracy,balanced_accuracy
AAPL,logreg,60,0.07,1230,0.36910569105691055,0.6463414634146342,0.6532194969881638
AAPL,logreg,20,0.1,1270,0.1078740157480315,0.8464566929133859,0.593662182361734
AAPL,logreg,60,0.05,1230,0.359349593495935,0.6016260162601627,0.5773299108895782
AAPL,logreg,45,0.1,1245,0.3100401606425703,0.5060240963855421,0.560884664010114
AAPL,logreg,60,0.1,1230,0.34308943089430893,0.5609756097560976,0.5424490970573422
AAPL,logreg,20,0.07,1270,0.17086614173228346,0.6496062992125984,0.5322172533730841
AAPL,logreg,60,0.03,1230,0.36829268292682926,0.5813008130081301,0.50800605863897
AAPL,logreg,90,0.05,1200,0.5183333333333333,0.7625,0.5025096525096525
AAPL,logreg,45,0.03,1245,0.3397590361445783,0.5220883534136547,0.5002110222520811
AAPL,rf,20,0.07,1270,0.17086614173228346,0.5708661417322834,0.48534189504261743
AAPL,knn,20,0.05,1270,0.2251968503937008,0.47244094488188976,0.47101894521249354
AAPL,logreg,90,0.1,1200,0.4625,0.6583333333333333,0.4630807788702526
AAPL,xgb,20,0.07,1270,0.17086614173228346,0.5669291338582677,0.4509498146237052
AAPL,logreg,90,0.03,1200,0.5358333333333334,0.725,0.4502719502719503
AAPL,xgb,20,0.05,1270,0.2251968503937008,0.48031496062992124,0.4369175627240143
AAPL,rf,20,0.05,1270,0.2251968503937008,0.41732283464566927,0.43553507424475163
AAPL,logreg,20,0.05,1270,0.2251968503937008,0.5393700787401575,0.4284519542584058
AAPL,logreg,45,0.07,1245,0.3469879518072289,0.5502008032128514,0.4211775878442545
AAPL,logreg,90,0.07,1200,0.51,0.65,0.41762990732062893
AAPL,knn,20,0.07,1270,0.17086614173228346,0.5708661417322834,0.41398157703627264
AAPL,logreg,45,0.05,1245,0.3582329317269076,0.5140562248995983,0.4137239510326138
AAPL,xgb,20,0.03,1270,0.284251968503937,0.4921259842519685,0.4019096845183802
AAPL,rf,20,0.03,1270,0.284251968503937,0.4645669291338583,0.4011326837413794
AAPL,rf,45,0.03,1245,0.3397590361445783,0.5180722891566265,0.38909704008992135
AAPL,knn,20,0.03,1270,0.284251968503937,0.4251968503937008,0.3876775398514529
AAPL,rf,20,0.1,1270,0.1078740157480315,0.8740157480314961,0.37919282511210767
AAPL,knn,45,0.03,1245,0.3397590361445783,0.46987951807228917,0.37405847469670933
AAPL,xgb,60,0.03,1230,0.36829268292682926,0.6138211382113821,0.3729128349381514
AAPL,xgb,20,0.1,1270,0.1078740157480315,0.8543307086614174,0.37171898355754857
AAPL,knn,20,0.1,1270,0.1078740157480315,0.8503937007874016,0.3702242152466368
AAPL,rf,60,0.05,1230,0.359349593495935,0.5040650406504065,0.3697559536975595
AAPL,xgb,90,0.1,1200,0.4625,0.5,0.36784268363215733
AAPL,rf,60,0.03,1230,0.36829268292682926,0.540650406504065,0.3663853727144866
AAPL,rf,45,0.1,1245,0.3100401606425703,0.5060240963855421,0.35421767727687364
AAPL,logreg,20,0.03,1270,0.284251968503937,0.4409448818897638,0.35090030742204653
AAPL,xgb,60,0.05,1230,0.359349593495935,0.4796747967479675,0.3500066014070427
AAPL,rf,60,0.07,1230,0.36910569105691055,0.47560975609756095,0.34701079031787696
AAPL,knn,60,0.07,1230,0.36910569105691055,0.46747967479674796,0.3449985418489356
AAPL,knn,90,0.03,1200,0.5358333333333334,0.6541666666666667,0.3448275862068966
AAPL,knn,45,0.1,1245,0.3100401606425703,0.4899598393574297,0.3422391857506361
AAPL,xgb,60,0.07,1230,0.36910569105691055,0.4634146341463415,0.3380577427821523
AAPL,knn,45,0.07,1245,0.3469879518072289,0.4578313253012048,0.33636039886039887
AAPL,knn,60,0.03,1230,0.36829268292682926,0.5691056910569106,0.335406974647481
AAPL,knn,60,0.05,1230,0.359349593495935,0.4959349593495935,0.3334807933348079
AAPL,rf,90,0.03,1200,0.5358333333333334,0.65,0.3333333333333333
AAPL,xgb,90,0.05,1200,0.5183333333333333,0.6166666666666667,0.3333333333333333
AAPL,xgb,90,0.07,1200,0.51,0.55,0.3333333333333333
AAPL,xgb,90,0.03,1200,0.5358333333333334,0.65,0.3333333333333333
AAPL,rf,90,0.05,1200,0.5183333333333333,0.6166666666666667,0.3333333333333333
AAPL,rf,90,0.07,1200,0.51,0.55,0.3333333333333333
AAPL,rf,45,0.05,1245,0.3582329317269076,0.46184738955823296,0.3331034482758621
AAPL,knn,45,0.05,1245,0.3582329317269076,0.43373493975903615,0.33164750957854405
AAPL,knn,90,0.05,1200,0.5183333333333333,0.6083333333333333,0.32882882882882886
AAPL,rf,45,0.07,1245,0.3469879518072289,0.46586345381526106,0.3272792022792023
AAPL,xgb,45,0.03,1245,0.3397590361445783,0.4457831325301205,0.3261068978436971
AAPL,knn,90,0.07,1200,0.51,0.5333333333333333,0.3241434968239092
AAPL,xgb,45,0.07,1245,0.3469879518072289,0.42570281124497994,0.32175925925925924
AAPL,knn,60,0.1,1230,0.34308943089430893,0.45121951219512196,0.3125644530781591
AAPL,knn,90,0.1,1200,0.4625,0.4083333333333333,0.3120059764796607
AAPL,xgb,60,0.1,1230,0.34308943089430893,0.44715447154471544,0.31129337842050986
AAPL,rf,90,0.1,1200,0.4625,0.4041666666666667,0.3108974358974359
AAPL,xgb,45,0.05,1245,0.3582329317269076,0.3895582329317269,0.3036781609195402
AAPL,xgb,45,0.1,1245,0.3100401606425703,0.4578313253012048,0.30327908204906623
AAPL,rf,60,0.1,1230,0.34308943089430893,0.43089430894308944,0.30021344461232224
