model,horizon,threshold,n_samples,target_rate,accuracy,balanced_accuracy,note
knn,90,0.05,887,0.45659526493799324,0.6179775280898876,0.6144927536231884,
knn,90,0.07,887,0.45659526493799324,0.5337078651685393,0.6036036036036037,
knn,90,0.03,887,0.46110484780157834,0.6348314606741573,0.5893361581920904,
rf,90,0.03,887,0.46110484780157834,0.38764044943820225,0.48305084745762716,
rf,90,0.07,887,0.45659526493799324,0.28651685393258425,0.47147147147147145,
xgb,90,0.05,887,0.45659526493799324,0.3258426966292135,0.463768115942029,
rf,90,0.05,887,0.45659526493799324,0.3202247191011236,0.4608695652173913,
xgb,90,0.03,887,0.46110484780157834,0.34269662921348315,0.4604519774011299,
xgb,90,0.07,887,0.45659526493799324,0.25280898876404495,0.4534534534534534,
knn,45,0.05,932,0.3165236051502146,0.3048128342245989,0.44685990338164255,
xgb,20,0.05,957,0.19122257053291536,0.4739583333333333,0.43211527035056446,
logreg,60,0.07,917,0.3336968375136314,0.22826086956521738,0.42814966218134326,
knn,45,0.07,932,0.31008583690987124,0.24064171122994651,0.4278489015331121,
knn,60,0.05,917,0.31842966194111233,0.44021739130434784,0.4264610232352168,
knn,45,0.03,932,0.296137339055794,0.37967914438502676,0.4180790960451977,
knn,20,0.03,957,0.2309299895506792,0.359375,0.41758763966905893,
knn,60,0.03,917,0.3249727371864776,0.44565217391304346,0.4168922305764411,
xgb,45,0.05,932,0.3165236051502146,0.25133689839572193,0.38764665286404415,
xgb,20,0.03,957,0.2309299895506792,0.3854166666666667,0.3817316323256447,
logreg,20,0.07,957,0.148380355276907,0.4895833333333333,0.3810874704491726,
logreg,45,0.07,932,0.31008583690987124,0.1657754010695187,0.38011695906432746,
xgb,45,0.03,932,0.296137339055794,0.3048128342245989,0.3785310734463277,
rf,45,0.03,932,0.296137339055794,0.3048128342245989,0.3785310734463277,
xgb,45,0.07,932,0.31008583690987124,0.16042780748663102,0.3749012170064801,
knn,60,0.07,917,0.3336968375136314,0.3641304347826087,0.37215409072843925,
xgb,60,0.03,917,0.3249727371864776,0.266304347826087,0.3683809523809523,
logreg,60,0.05,917,0.31842966194111233,0.23369565217391305,0.364498138691687,
knn,60,0.1,917,0.32061068702290074,0.4076086956521739,0.362145390070922,
rf,45,0.07,932,0.31008583690987124,0.13368983957219252,0.3598862019914651,
rf,45,0.05,932,0.3165236051502146,0.1925133689839572,0.35576259489302964,
logreg,90,0.05,887,0.45659526493799324,0.10112359550561797,0.35159420289855076,
rf,20,0.03,957,0.2309299895506792,0.3489583333333333,0.3455831881303131,
logreg,90,0.07,887,0.45659526493799324,0.05056179775280899,0.3453453453453454,
logreg,60,0.1,917,0.32061068702290074,0.07065217391304347,0.34459219858156026,
knn,20,0.05,957,0.19122257053291536,0.375,0.34135472370766484,
logreg,20,0.05,957,0.19122257053291536,0.2708333333333333,0.3363042186571598,
logreg,90,0.03,887,0.46110484780157834,0.09550561797752809,0.3361581920903955,
knn,45,0.1,932,0.2821888412017167,0.40106951871657753,0.334488116234148,
rf,60,0.1,917,0.32061068702290074,0.44021739130434784,0.33129432624113475,
logreg,45,0.1,932,0.2821888412017167,0.0962566844919786,0.32908163265306123,
logreg,45,0.03,932,0.296137339055794,0.16042780748663102,0.326945412311266,
rf,45,0.1,932,0.2821888412017167,0.3315508021390374,0.32568027210884354,
xgb,60,0.1,917,0.32061068702290074,0.42934782608695654,0.32482269503546096,
xgb,60,0.05,917,0.31842966194111233,0.2717391304347826,0.3228228228228229,
xgb,60,0.07,917,0.3336968375136314,0.31521739130434784,0.3208993357179356,
rf,60,0.07,917,0.3336968375136314,0.30978260869565216,0.31243967523987964,
rf,60,0.05,917,0.31842966194111233,0.2554347826086957,0.3088803088803089,
logreg,60,0.03,917,0.3249727371864776,0.10869565217391304,0.3042539682539683,
rf,60,0.03,917,0.3249727371864776,0.18478260869565216,0.30196825396825394,
logreg,20,0.03,957,0.2309299895506792,0.25,0.28552803129074317,
knn,20,0.07,957,0.148380355276907,0.5,0.28045705279747835,
rf,20,0.05,957,0.19122257053291536,0.4270833333333333,0.27614379084967317,
logreg,45,0.05,932,0.3165236051502146,0.16042780748663102,0.273015873015873,
xgb,20,0.07,957,0.148380355276907,0.53125,0.25492513790386134,
rf,20,0.07,957,0.148380355276907,0.5364583333333334,0.2434988179669031,
xgb,45,0.1,932,0.2821888412017167,0.34759358288770054,0.22108843537414966,
logreg,20,0.1,957,0.1013584117032393,,,skip (classes manquantes dans y_test)
logreg,90,0.1,887,0.4047350620067644,,,skip (classes manquantes dans y_test)
knn,20,0.1,957,0.1013584117032393,,,skip (classes manquantes dans y_test)
knn,90,0.1,887,0.4047350620067644,,,skip (classes manquantes dans y_test)
rf,20,0.1,957,0.1013584117032393,,,skip (classes manquantes dans y_test)
rf,90,0.1,887,0.4047350620067644,,,skip (classes manquantes dans y_test)
xgb,20,0.1,957,0.1013584117032393,,,skip (classes manquantes dans y_test)
xgb,90,0.1,887,0.4047350620067644,,,skip (classes manquantes dans y_test)
