threshold,n_samples,target_rate,accuracy,balanced_accuracy,note,precision,recall
0.02,0,,,,skip (target constant ou trop peu de données),,
0.03,0,,,,skip (target constant ou trop peu de données),,
0.05,0,,,,skip (target constant ou trop peu de données),,
0.07,0,,,,skip (target constant ou trop peu de données),,
0.02,0,,,,skip (target constant ou trop peu de données),,
0.03,0,,,,skip (target constant ou trop peu de données),,
0.05,0,,,,skip (target constant ou trop peu de données),,
0.07,0,,,,skip (target constant ou trop peu de données),,
0.02,0,,,,skip (target constant ou trop peu de données),,
0.03,0,,,,skip (target constant ou trop peu de données),,
0.05,0,,,,skip (target constant ou trop peu de données),,
0.07,0,,,,skip (target constant ou trop peu de données),,
0.02,0,,,,skip (target constant ou trop peu de données),,
0.03,0,,,,skip (target constant ou trop peu de données),,
0.05,0,,,,skip (target constant ou trop peu de données),,
0.07,0,,,,skip (target constant ou trop peu de données),,
0.02,0,,,,skip (target constant ou trop peu de données),,
0.03,0,,,,skip (target constant ou trop peu de données),,
0.05,0,,,,skip (target constant ou trop peu de données),,
0.07,0,,,,skip (target constant ou trop peu de données),,
0.02,0,,,,skip (target constant ou trop peu de données),,
0.03,0,,,,skip (target constant ou trop peu de données),,
0.05,0,,,,skip (target constant ou trop peu de données),,
0.07,0,,,,skip (target constant ou trop peu de données),,
0.02,0,,,,skip (target constant ou trop peu de données),,
0.03,0,,,,skip (target constant ou trop peu de données),,
0.05,0,,,,skip (target constant ou trop peu de données),,
0.07,0,,,,skip (target constant ou trop peu de données),,
0.02,0,,,,skip (target constant ou trop peu de données),,
0.03,0,,,,skip (target constant ou trop peu de données),,
0.05,0,,,,skip (target constant ou trop peu de données),,
0.07,0,,,,skip (target constant ou trop peu de données),,
0.02,0,,,,skip (target constant ou trop peu de données),,
0.03,0,,,,skip (target constant ou trop peu de données),,
0.05,0,,,,skip (target constant ou trop peu de données),,
0.07,0,,,,skip (target constant ou trop peu de données),,
0.02,0,,,,skip (target constant ou trop peu de données),,
0.03,0,,,,skip (target constant ou trop peu de données),,
0.05,0,,,,skip (target constant ou trop peu de données),,
0.07,0,,,,skip (target constant ou trop peu de données),,
0.02,0,,,,skip (target constant ou trop peu de données),,
0.03,0,,,,skip (target constant ou trop peu de données),,
0.05,0,,,,skip (target constant ou trop peu de données),,
0.07,0,,,,skip (target constant ou trop peu de données),,
0.02,0,,,,skip (target constant ou trop peu de données),,
0.03,0,,,,skip (target constant ou trop peu de données),,
0.05,0,,,,skip (target constant ou trop peu de données),,
0.07,0,,,,skip (target constant ou trop peu de données),,
0.02,0,,,,skip (target constant ou trop peu de données),,
0.03,0,,,,skip (target constant ou trop peu de données),,
0.05,0,,,,skip (target constant ou trop peu de données),,
0.07,0,,,,skip (target constant ou trop peu de données),,
0.02,0,,,,skip (target constant ou trop peu de données),,
0.03,0,,,,skip (target constant ou trop peu de données),,
0.05,0,,,,skip (target constant ou trop peu de données),,
0.07,0,,,,skip (target constant ou trop peu de données),,
0.02,0,,,,skip (target constant ou trop peu de données),,
0.03,0,,,,skip (target constant ou trop peu de données),,
0.05,0,,,,skip (target constant ou trop peu de données),,
0.07,0,,,,skip (target constant ou trop peu de données),,
0.02,0,,,,skip (target constant ou trop peu de données),,
0.03,0,,,,skip (target constant ou trop peu de données),,
0.05,0,,,,skip (target constant ou trop peu de données),,
0.07,0,,,,skip (target constant ou trop peu de données),,
0.02,0,,,,skip (target constant ou trop peu de données),,
0.03,0,,,,skip (target constant ou trop peu de données),,
0.05,0,,,,skip (target constant ou trop peu de données),,
0.07,0,,,,skip (target constant ou trop peu de données),,
0.02,0,,,,skip (target constant ou trop peu de données),,
0.03,0,,,,skip (target constant ou trop peu de données),,
0.05,0,,,,skip (target constant ou trop peu de données),,
0.07,0,,,,skip (target constant ou trop peu de données),,
0.02,0,,,,skip (target constant ou trop peu de données),,
0.03,0,,,,skip (target constant ou trop peu de données),,
0.05,0,,,,skip (target constant ou trop peu de données),,
0.07,0,,,,skip (target constant ou trop peu de données),,
0.02,0,,,,skip (target constant ou trop peu de données),,
0.03,0,,,,skip (target constant ou trop peu de données),,
0.05,0,,,,skip (target constant ou trop peu de données),,
0.07,0,,,,skip (target constant ou trop peu de données),,
0.02,0,,,,skip (target constant ou trop peu de données),,
0.03,0,,,,skip (target constant ou trop peu de données),,
0.05,0,,,,skip (target constant ou trop peu de données),,
0.07,0,,,,skip (target constant ou trop peu de données),,
0.02,0,,,,skip (target constant ou trop peu de données),,
0.03,0,,,,skip (target constant ou trop peu de données),,
0.05,0,,,,skip (target constant ou trop peu de données),,
0.07,0,,,,skip (target constant ou trop peu de données),,
0.02,0,,,,skip (target constant ou trop peu de données),,
0.03,0,,,,skip (target constant ou trop peu de données),,
0.05,0,,,,skip (target constant ou trop peu de données),,
0.07,0,,,,skip (target constant ou trop peu de données),,
0.02,0,,,,skip (target constant ou trop peu de données),,
0.03,0,,,,skip (target constant ou trop peu de données),,
0.05,0,,,,skip (target constant ou trop peu de données),,
0.07,0,,,,skip (target constant ou trop peu de données),,
